date,username,tweet,likes_count,retweets_count,mentions
2020-12-23,tjboudreaux,@Austen You forgot to prefix this with Request for Startup: 😂,0,0,[]
2020-12-23,ariauniversal,"@jack Hello Jack, on behalf Aria Universal inc a start up company; based in Nairobi Kenya, East Africa I would like to humbly request for your support via your #startsmall initiative to help spearhead our company meet its inhouse goals of launching these #healthcare technology products  https://t.co/bKW3l8Zyir",1,0,[]
2020-12-23,larrypepe,"@khabibs_petbear I think this is an extremely reasonable request from the Truth Army and an excellent idea. I'll make it happen before the fights start up again, DA. Happy Holidays, my friend and thank you for the kind words.",1,0,[]
2020-12-23,justanother05,"@O3jfrye @_mcameron44 Think: Cameo for ex player instruction. Kid sends quick video of a skill set or advice request, chooses who they want to answer, that player responds. There are ways to make this work financially for all parties involved. (I reserve start up rights 😂)",2,0,[]
2020-12-23,innovativepaki2,"Warmest welcome to Innovative Pakistan, a start-up which aims at making Pakistan digital and smart! 🤗 This company’s aim is to build a stronger economy of Pakistan! 💫  We humbly request for your support and best wishes! 😊  Pakistan Zindabad! 🇵🇰  #innovativepakistan #startup  https://t.co/xVgsYTDJpA",0,0,[]
2020-12-23,kaifaust,Request for startup: Block duplicate information from getting to my notifications.  https://t.co/RIKbFe8EU8,5,0,[]
2020-12-22,nosduhz,@TwitterSupport My startups business twitter handle has been suspended without a response for months now.  We lost our Google voice login for 2FA which I believe started it.  We even tried to create a new handle and filing an impersonation request against ourselves! Please help.,0,0,[]
2020-12-22,text_request,What do we want for the #Holidays? 💚❤️  We’re looking forward to 2021 and the chance to celebrate small victories in-person as an entire team again. 🎁  Here’s to the new year and the light at the end of the tunnel that is our teammates and customers. ⭐  #Chattanooga #startup  https://t.co/6Rs0emPHSz,3,1,[]
2020-12-22,rememberlenny,"It's very common for startups to monitor competitors by looking at API requests, and watching key ID numbers over time.  Ie. Checking the user id of a new account every week, project id, etc. I imagine smart VCs do the same when scouting investments.",0,0,[]
2020-12-22,vhseclipse,"@ventdevivre @C1EXY @KH10N3 @EmeraudesAir The ATC immediately replies and say ""G550, flight EA 0057 engine start up approved ."" He turns on the engine, gets a little bit excited and continues to talk to the ATC ""flight EA 0057 request clearance for take off.""",5,0,[]
2020-12-21,teamyoutube,"@MarkDesigns3 Thanks for tagging us – while the  ability to turn off the startup sound is not currently available, feel free to share that request here so that it goes to the right team:  https://t.co/BNmW59hY33. Thanks!",0,0,[]
2020-12-21,nick_dewilde,Request for Startup is such a great newsletter for aspiring founders.  @mariodgabriele gets people to give away great startup ideas that they don't have the bandwidth to work on.  I shared an idea about redesigning MBA programs to better prepare students for remote work.,12,1,"[{'screen_name': 'mariodgabriele', 'name': 'mario 🦊', 'id': '3076212136'}]"
2020-12-21,blogofjake,Request for Startup: Harmless Vape  https://t.co/YvJoLD9oeu,1,0,[]
2020-12-21,kojiromoriwaka,"Thank you so much for sending me many requests, been reading messages on Linkedin, so taking a long time to accept, and reply.....stay safe and happy, ❤️ from Japan  https://t.co/iLGDg45jXo",7,0,[]
2020-12-21,umuravawork,"If you are looking for excellent #freelancing &amp; #Consulting services for your business or personal growth, just visit  https://t.co/BLASjxAMn3 platform to request them in many areas of expertise. #remotework #startups  https://t.co/bN0vTWKWGT",4,0,[]
2020-12-21,os4w_germany,#RemoteWorking has become part of many organizations and has transformed the way of work for many businesses. Send your request today. We will connect you with the global pool of experts who are available 24/7 for your support.    https://t.co/lcjFjQevMz   #ITstartups #startups  https://t.co/za6vXBTJUl,0,0,[]
2020-12-21,liamherbst29,@gregisenberg This post is so good you should append it with a request for advisor equity in the newly created startups,3,1,[]
2020-12-21,kaifaust,Request for startup: Convert low quality voice audio to studio quality.,7,0,[]
2020-12-21,mehulshahca,I request @IRSAssociation to file request to @FinMinIndia for #TaxAudit extension.   How much time it takes for a #CA to file an appeal online and upload #COVID19 submission for 271B penalty?  -5 minutes.   Time wasted of Govt machinery to pass lakhs of appeal orders. -Priceless,11,5,"[{'screen_name': 'irsassociation', 'name': 'irs association', 'id': '4076775134'}, {'screen_name': 'finminindia', 'name': 'ministry of finance', 'id': '2613904818'}]"
2020-12-21,umabsent,"@S0LARl @Ioeuvr @EmeraudesAir After contacting the ATC, Icarus heard a static from the radio, indicating that that tower received his request and with that and a sigh, he coordinated with the personnel. “Good evening, Émeraude Tower this is Captain Lavigne of EA 0051, requesting for engine start up.""",3,0,[]
2020-12-21,vhseclipse,"@xamaranthxne @theworkingbree @naIuhod @EmeraudesAir @59FlLES The ATC immediately replies and say ""Vulcan, flight EA 0052, engine start up approved."" He turns on the engine continues to talk to the ATC ""flight EA 0052 request approval for take off.""",3,0,[]
2020-12-21,business_gov_au,Are you a qualified &amp; experienced mentor with an interest in supporting women-owned &amp; led startups? Register your interest to become a #boostingfemalefounders mentor.  Request for Tender closes 10am AEDT 1 Feb 2021.  To learn more go to  https://t.co/uCiSOQk27n  https://t.co/l8WGb07EAZ,8,7,[]
2020-12-20,krishkhubchand,been thinking about @firstround’s discovery assist service and I think a few things:  (1) VC should replace append 3 ‘potential customers’ to every ‘request for startup’ they opine on   (2) imagine the supply side shaping / industrial policy this enables    https://t.co/7FXYkuHLaK,0,1,"[{'screen_name': 'firstround', 'name': 'first round', 'id': '15307727'}]"
2020-12-20,_m_watson,Request for VCs: someone start a YPO // support group for Founder Signifcant Others.   Been on both sides of the table and can say it’s the most overlooked group of the entire startup ecosystem. Would probably go a long way for IRRs as well.,2,0,[]
2020-12-20,maheshgogula10,"@MarcellusInvest Your team had shared an amazing insights all the time about investing through blogs,books and webinars and showed us low risk road to stupendous wealth. A big thanks for that.Would request you to share your insights on startups too....@tejshah_94 @RakshitRanjanM1",0,0,"[{'screen_name': 'tejshah_94', 'name': 'tej shah', 'id': '1338503598'}, {'screen_name': 'rakshitranjanm1', 'name': 'rakshit ranjan @ marcellus', 'id': '1177270278184812545'}]"
2020-12-19,launchlou,Wait But Why’s Tim Urban tells us the superpowers of being 20 and his request for a startup:  https://t.co/ijQpTEZarV via @TheHustle #entrepreneur #startup #business #genZ #success  https://t.co/gdSYqNczVE,0,0,"[{'screen_name': 'thehustle', 'name': 'the hustle', 'id': '1408727533'}]"
